,0
0,578.4245554583417
1,50.79797728593201
2,42.62712055569289
3,34.25518214177137
4,24.277443197741583
5,20.758919806579673
6,17.87411596032176
7,16.072048275189328
8,14.24273484833438
9,12.077666256020434
10,11.566412728468931
11,10.506203919390238
12,10.360082067772586
13,9.875718524633603
14,9.675767059800807
15,9.47447149214225
16,9.004994215878561
17,8.624254067161415
18,8.324714427579211
19,8.005981229748512
20,7.692105539582541
21,7.592345842247711
22,7.359166532502754
23,7.174303797887413
24,7.007527943884504
25,6.724488917164179
26,6.625568272895829
27,6.5282974716637145
28,6.373337330872553
29,6.256840159856075
30,6.059461775723414
31,5.976804597819402
32,5.938154283018922
33,5.7910993131885
34,5.668185874994568
35,5.4648825466935085
36,5.4351562361268355
37,5.307925325993242
38,5.301303193912543
39,5.136174379340916
40,5.078483727100446
41,4.998734959190883
42,4.925541384777463
43,4.853357057094654
44,4.802093687984068
45,4.778735147612263
46,4.608607114748295
47,4.586447327710384
48,4.487496431441176
49,4.453905802334636
50,4.458032574135842
51,4.3253793918897285
52,4.348485218566705
53,4.265598014876098
54,4.1439415312751775
55,4.124103210008251
56,4.038800146686094
57,4.023266450253722
58,3.973791653194835
59,3.9305335746594623
60,3.8609617781052736
61,3.806353107931583
62,3.7962506985242963
63,3.756951401914019
64,-3.4989901782040564e-15
65,3.730900388900176
66,3.698386977172934
67,3.667295940640958
68,3.627675615346165
69,3.5573495664214043
70,3.5343252824796876
71,3.5189610771256357
72,3.5014349761742745
73,3.4248459846886976
74,3.415033160636228
75,3.3921473304259235
76,3.352450322979941
77,3.2913543471449365
78,3.2356526019234155
79,3.2581639264695714
80,3.1983802074736456
81,3.1702383730455934
82,3.147951991603097
83,3.1102155727508207
84,3.1070847365506173
85,3.0470719512332134
86,3.0193191891548157
87,3.0153605128208243
88,3.0308387599983395
89,2.981082264056219
90,2.956326060589537
91,2.933576599636067
92,2.9406789191524503
93,2.8957051657653294
94,2.8777483841401725
95,2.859946444495304
96,2.832680872357775
97,2.799992751934633
98,2.7824051892004937
99,2.7455063280556034
100,2.760607530795854
101,2.708521720606778
102,2.6918274144942527
103,2.6805494484573225
104,2.646359899299009
105,2.6561360649548615
106,2.6181791528264475
107,2.6086724998170605
108,2.589148641407147
109,2.569912181329213
110,2.5514931595044232
111,2.531436474511946
112,2.520054540424315
113,2.4716815058702135
114,2.4835307203483112
115,2.4925480650607144
116,2.457468260922392
117,2.441517397260436
118,2.4152503284787774
119,2.3734727167939496
120,2.3998442299823752
121,2.3912817290975186
122,2.351154623257632
123,2.3404853039239017
124,2.3202845515369575
125,2.2893508943118075
126,2.2777261167876537
127,2.254481876384753
128,2.242839027784297
129,2.204966502634973
130,2.033853172869367
131,2.1908484883291943
132,2.0513463559456313
133,2.1372328405429633
134,2.101361904318011
135,2.1208355022353396
136,2.1121453650268402
137,2.041349628096864
138,2.1676134148006008
139,2.2252286987024155
140,2.1722268934899382
141,2.156762571318716
142,2.0724443828188384
143,2.0785107387564636
144,0.06037787297845021
145,0.008046199733456324
146,0.0386457543895761
147,2.0132295719454865
148,2.00503404362189
149,1.9958328879766052
150,1.974686086535505
151,1.9577444867352662
152,1.9636061278187542
153,1.9664217875625838
154,1.9225183392062188
155,1.911502630195595
156,1.8981047333776735
157,1.8870470521367064
158,1.8789912958232797
159,1.839539659627486
160,1.8591091389590582
161,1.852540590791803
162,1.8272304111488802
163,1.811410637210893
164,1.8055153870482517
165,1.5956901792855591
166,1.7786059273895138
167,1.7913836299033252
168,1.6046397937683574
169,1.7938924248094898
170,1.6291396360204562
171,1.620387781939295
172,1.6459216611451362
173,1.7498859181429582
174,1.6761528410869564
175,1.6095600377429689
176,1.7344563945685316
177,1.6928907693575803
178,1.710527375354253
179,1.7034282763418491
180,1.6621205156089291
181,1.7271447711780616
182,1.6683868628086966
183,1.7236666845677926
184,1.7403542699895242
185,0.04139551787662609
186,1.5979447915184102
187,1.5672942830364514
188,1.5638730379687407
189,1.5586404351056395
190,1.5389524479988164
191,1.5413642177588465
192,1.5298469064593339
193,1.5133238265368416
