Date,Open,High,Low,Close,Adj Close,Volume
2009-03-30,63.959998999999996,64.07,62.0,63.459998999999996,55.1017,3942500
2009-03-31,64.33000200000001,65.5,63.799999,64.089996,55.648716,3754600
2009-04-01,62.119999,66.610001,62.119999,66.07,57.367943000000004,4086000
2009-04-02,68.5,69.5,67.639999,67.91999799999999,58.974258,5214500
2009-04-03,67.849998,69.32,66.900002,68.0,59.043728,4759300
2009-04-06,66.959999,67.129997,64.839996,65.900002,57.220318000000006,3515000
2009-04-07,64.610001,65.089996,62.5,62.73,54.467838,3657600
2009-04-08,62.900002,65.739998,61.599998,65.470001,56.846951000000004,4116200
2009-04-09,67.5,69.16999799999999,67.150002,68.91999799999999,59.842552000000005,4535300
2009-04-13,67.349998,70.160004,66.480003,69.480003,60.328804000000005,3678600
2009-04-14,68.91999799999999,69.889999,67.220001,68.150002,59.173958,4855500
2009-04-15,67.599998,68.360001,65.720001,67.32,58.453293,4102100
2009-04-16,67.779999,68.459999,65.910004,68.010002,59.052409999999995,3252800
2009-04-17,68.010002,69.790001,68.0,69.089996,59.990157999999994,3659600
2009-04-20,67.43,67.43,65.050003,65.379997,56.89231899999999,3527100
2009-04-21,64.480003,66.220001,63.209998999999996,66.050003,57.475353000000005,3709500
2009-04-22,65.010002,67.129997,64.68,65.639999,57.11858,2637500
2009-04-23,66.449997,67.41999799999999,65.790001,67.260002,58.528278,3544600
2009-04-24,68.089996,69.349998,68.089996,69.08000200000001,60.111973,3708100
2009-04-27,67.279999,68.959999,66.760002,68.150002,59.302710999999995,2629700
2009-04-28,67.309998,68.860001,66.610001,68.050003,59.215717000000005,2977500
2009-04-29,68.720001,70.769997,68.32,69.83000200000001,60.764641000000005,3418300
2009-04-30,72.010002,74.389999,71.389999,72.860001,63.401279,7128500
2009-05-01,73.199997,77.889999,72.699997,76.970001,66.977692,4856500
2009-05-04,77.349998,80.190002,77.139999,80.190002,69.779678,4746100
2009-05-05,79.239998,80.150002,76.889999,79.339996,69.040024,4642800
2009-05-06,81.25,83.349998,80.400002,82.550003,71.83329,4968400
2009-05-07,83.66999799999999,85.720001,80.139999,81.459999,70.884811,6048200
2009-05-08,82.5,85.879997,82.150002,84.889999,73.869522,4660800
2009-05-11,83.07,83.089996,80.41999799999999,81.839996,71.21545400000001,3804900
2009-05-12,83.519997,83.519997,79.220001,81.43,70.858704,4381000
2009-05-13,80.050003,80.57,77.269997,78.0,67.87400799999999,3629000
2009-05-14,77.309998,79.620003,76.370003,78.629997,68.422195,3603700
2009-05-15,78.160004,79.0,76.040001,76.610001,66.66444399999999,3233800
2009-05-18,78.120003,79.589996,78.089996,79.209999,68.926903,3301100
2009-05-19,79.010002,80.620003,78.220001,79.339996,69.040024,2987900
2009-05-20,80.720001,83.470001,80.120003,80.800003,70.310501,4661300
2009-05-21,79.510002,79.510002,76.769997,78.25,68.09153,3956300
2009-05-22,78.589996,79.449997,77.720001,77.83000200000001,67.726067,2301000
2009-05-26,76.849998,79.879997,75.550003,79.559998,69.231461,3085000
2009-05-27,79.82,81.559998,79.32,79.57,69.240181,3266300
